Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-02-28 09:55:48.715,IE00BHZRQZ17,FLXI,"Franklin FTSE India (Acc)",,EOF28806930103,0.3659670000,37.7900000000,EUR,1.00000000,,"EUR",13.83,"EUR",,,,,,,,,,
Market buy,2025-02-28 09:56:40.276,US29355A1079,E0P,"Enphase Energy",,EOF28806930200,0.2364270000,58.5800000000,EUR,1.00000000,,"EUR",13.85,"EUR",,,,,,,,,,
Market buy,2025-02-28 09:57:11.473,XS2425848053,WENT,"WisdomTree Energy Transition Metals",,EOF28806930251,1.3701280000,18.7500000000,EUR,1.00000000,,"EUR",25.69,"EUR",,,,,,,,,,
Market buy,2025-02-28 09:59:46.281,LU0476289623,XMID,"Xtrackers MSCI Indonesia Swap (Acc)",,EOF28806930667,0.3035200000,939.5000000000,GBX,82.65421449,,"EUR",3.46,"EUR",,,,,,,,,0.01,"EUR"
Dividend (Dividend),2025-04-02 13:38:09,US67066G1040,NVDA,"Nvidia",,,14.3003355000,0.008500,USD,Not available,,,0.11,"EUR",0.02,USD,,,,,,,,
Dividend (Dividend),2025-04-03 13:19:34,BMG162581083,BEP,"Brookfield Renewable Partners",,,7.2343040000,0.317050,USD,Not available,,,2.07,"EUR",0.40,USD,,,,,,,,
Dividend (Dividend),2025-04-14 11:31:27,US26969P1084,EXP,"Eagle Materials",,,0.1812019000,0.212500,USD,Not available,,,0.03,"EUR",0.01,USD,,,,,,,,
Dividend (Dividend),2025-05-09 13:38:34,GB0008782301,TW,"Taylor Wimpey",,,114.0035027000,4.660000,GBX,Not available,,,6.26,"EUR",0.00,GBX,,,,,,,,
Market buy,2025-05-09 13:38:39.099,GB0006825383,PSN,"Persimmon",,EOF32352747872,0.1176587400,1338.0000000000,GBX,84.63838393,,"EUR",1.87,"EUR",,,,,,,0.01,"EUR",,
Market buy,2025-05-09 13:38:39.701,GB00B135BJ46,SVS,"Savills",,EOF32352747878,0.1090475000,965.0000000000,GBX,84.86357862,,"EUR",1.25,"EUR",,,,,,,0.01,"EUR",,
Market buy,2025-05-09 13:38:42.044,GB0008782301,TW,"Taylor Wimpey",,EOF32352747897,1.3449423000,117.0500000000,GBX,84.63736355,,"EUR",1.87,"EUR",,,,,,,0.01,"EUR",,
Market buy,2025-05-09 13:40:06.844,GB0001367019,BLND,"British Land",,EOF32352748846,0.2650465000,397.0000000000,GBX,84.85762943,,"EUR",1.25,"EUR",,,,,,,0.01,"EUR",,
Dividend (Dividend),2025-05-13 11:20:11,US0003752047,ABBNY,"ABB",,,4.6500000000,0.667391,USD,Not available,,,2.79,"EUR",1.67,USD,,,,,,,,
Dividend (Dividend),2025-05-22 12:11:49,GB00B135BJ46,SVS,"Savills",,,8.4810240200,14.500000,GBX,Not available,,,1.46,"EUR",0.00,GBX,,,,,,,,
Dividend (Dividend),2025-05-22 12:19:10,GB00B135BJ46,SVS,"Savills",,,8.4810240200,8.600000,GBX,Not available,,,0.86,"EUR",0.00,GBX,,,,,,,,
Dividend (Dividend),2025-05-27 12:39:48,US48251W1045,KKR,"KKR & Co",,,7.4000000000,0.157250,USD,Not available,,,1.02,"EUR",0.21,USD,,,,,,,,
Market sell,2025-05-28 17:19:18.993,US67066G1040,NVDA,"Nvidia",,EOF33305775472,14.3003355000,135.9700000000,USD,1.12968006,-28.51,"EUR",1718.63,"EUR",,,,,,,,,2.58,"EUR"
Withdrawal,2025-06-06 21:07:40.193,,,,"Sent to card **** 3809",59453636-3f8a-45de-8aa1-a671bc9e858a,,,,,,,-1000.00,"EUR",,,,,,,,,,
Withdrawal,2025-06-06 21:09:00.173,,,,"Sent to card **** 3809",2dcd9001-603f-4505-aaca-7a4031ee0632,,,,,,,-722.55,"EUR",,,,,,,,,,
